Class,Car,Car Model,restrictor,ballast,No,Team,Driver,GUID,Status,Livery_folder,Class,Car,Car Model,restrictor,ballast,No,Team,Driver,GUID,Status,Livery_folder
GT3-AM,Audi R8 LMS EVO II 2021,fsr_audi_lms_evo_ii_gt3,,,98,AM 98 | Balapan Random Motorsports,98 | Aryan Aditiya;98 | Andhito Rayhan,76561199379092272;76561199169891866,Valid,#98_BRM_AM,,,,,,,,,,,
GT3-AM,BEGO BRD-03 GT3 (P),bego_brd03_gt3_crc_spec_2026,,,121,AM 121 | JPRT X PEA X B.E.G.O.,121 | Handy Goandy;121 | Dzulfikar Rafid Aditya;121 | Rezky Nandito,76561198115404412;76561198147396486;76561198211152075,Valid,121,,,,,,,,,,,
GT3-AM,BMW M4 GT3 2022,ks_bmw_m4_gt3,,,32,AM 32 | Artito Racing,32 | Charles De Vega;32 | Dre Pakingan;32 | Nika Sifrashvili;32 | Miguelle Mikee Perez,76561198840394549;76561199590492977;76561198981666229;76561198437040242,Valid,Artito Racing 2026 #32,,,,,,,,,,,
GT3-AM,Jaguar XJ220 GT3 (P),steeze_xj220_gt1,,,456,AM 456 | STEEZE Delta,456 | Arvel Arya;456 | Habib Tri Cahyanto;456 | Teofilus Titan;456 | Lambert Hezekiah,76561198254916190;76561199129661685;76561199025828206;76561198850445409,Valid,#456_STEEZE Delta_AM,,,,,,,,,,,
GT3-AM,Bentley Continental GT3 2018,bentley_continental_gt3_18_acc,,10,592,AM 592 | Auto Neptusia X M92 X Spontan,592 | Muhammad Waiz;592 | Farrell Rabbani;592 | Abdil Nazmi;592 | Ferdinand Nataliano,76561199581487729;76561198987585008;76561198450856389;76561199033857816,Valid,#592_Auto Neptusia X M92 X Spontan_AM,,,,,,,,,,,
GT3-AM,BMW M4 GT3 2022,ks_bmw_m4_gt3,,,19,AM 19 | FrontlineID Motorsport,19 | Irfan Alawi;19 | Rizky Budidharma;19 | Farhan Rizky Novan,76561198164237334;76561198062422275;76561198267232860,Valid,#19_FrontlineID Motorsport_AM,,,,,,,,,,,
GT3-AM,BEGO BRD-03 GT3 (P),bego_brd03_gt3_crc_spec_2026,,,699,AM 699 | Vhoung by B.E.G.O. Racing Division,699 | Asemeleheiven;699 | Hanif Hardyan;699 | Michael Kenny;699 | Arialza Tera,76561198201919467;76561199806377550;76561198186673807;76561198996850118,Valid,699,,,,,,,,,,,
GT3-AM,Mazda RX Vision GT3 (P),steeze_mazda_rx_vision_gt3,,20,579,AM 579 | FrontlineID Motorsport,579 | Indy Anindra;579 | Bimo Satria Wibowo;579 | Zam Zam Yusuf,76561198853558306;76561198938253473;76561198258646350,Valid,#579_FrontlineID Motorsport_AM,,,,,,,,,,,
GT3-AM,Jaguar XJ220 GT3 (P),steeze_xj220_gt1,,,123,AM 123 | STEEZE Alpha,123 | Rusly Afliansyah;123 | David Tanujaya;123 | Reyhan Husein,76561198095517064;76561198339036515;76561198962781985,Valid,#123_STEEZE Alpha_AM,,,,,,,,,,,
GT3-AM,BMW M6 GT3 (P),KSR_BMW_M6_GT3,,,87,AM 87 | Barcode Gokart KSR,87 | Samuel Suwu;87 | Aldira Hariasmada;87 | Savata Reyhan,76561198172048965;76561198084659140;76561198044747486,Valid,#87_Barcode Gokart KSR_AM,,,,,,,,,,,
